,Unnamed: 0,created_at,text,sentiment,positive_sentiment_score,negative_sentiment_score
10,10,2022-12-04 16:55:52+00:00,"AI services can deliver growth at an affordable price.

#Neuralink 

https://t.co/l73RwQ5VI1

 #1000xGem #ETH #RBXS #CMC #ERC #ELONMUSK #Crypto #blockchain https://t.co/4OWmnTq3Zb",NEUTRAL,0.06790202856063843,0.0003530058020260185
11,11,2022-12-04 16:55:47+00:00,"@relaxnpensacol1 @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/dgIc7iqZd4",NEUTRAL,0.35686948895454407,0.00035285798367112875
12,12,2022-12-04 16:55:46+00:00,"Neuralink will socially trend and grow their holders exponentially through the use of Artificial Intelligence bots and cutting edge social trending technology.

#Neuralink 

https://t.co/l73RwQ5VI1

 #1000xGem #ETH #RBXS #CMC #ERC #ELONMUSK #Crypto #blockchain https://t.co/tMKw1w0QEz",NEUTRAL,0.03822203353047371,0.0003951289691030979
13,13,2022-12-04 16:55:45+00:00,"NeuraLink has systems that think. Smart technology for a better future.

#Neuralink 

https://t.co/l73RwQ5VI1

 #1000xGem #ETH #RBXS #CMC #ERC #ELONMUSK #Crypto #blockchain https://t.co/ownUlhBjdu",NEUTRAL,0.2426699846982956,0.002045673318207264
14,14,2022-12-04 16:55:41+00:00,"@ATChaisson @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/oUFlB1Pd3Q",NEUTRAL,0.39165371656417847,0.0003143383073620498
15,15,2022-12-04 16:55:36+00:00,"@CryptoElton JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/HgAWc2BDP5",NEUTRAL,0.2854384481906891,0.0002305182279087603
16,16,2022-12-04 16:55:36+00:00,"@JDavidMonroe @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/LZNI9mgLQt",NEUTRAL,0.371601939201355,0.0003474147233646363
17,17,2022-12-04 16:55:29+00:00,"@IndivisibleSue @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/tSLM979ltI",NEUTRAL,0.34195008873939514,0.00028877341537736356
18,18,2022-12-04 16:55:18+00:00,"@TheRealMahCoy @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/WX8y1lSzMD",NEUTRAL,0.38299429416656494,0.0003534314746502787
19,19,2022-12-04 16:55:11+00:00,"@23SkidooSt @GeorgeTakei @Powhatan_Dems JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/la16Vk88fI",NEUTRAL,0.33118700981140137,0.0004054789897054434
20,20,2022-12-04 16:55:05+00:00,"@RobHutchison8X5 @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/oXpaIncntg",NEUTRAL,0.365095853805542,0.0003392190847080201
21,21,2022-12-04 16:54:56+00:00,"@sibersong @GeorgeTakei @KELOUISE1 JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/kXko4RWLJU",NEUTRAL,0.3442399799823761,0.0004115574120078236
22,22,2022-12-04 16:54:55+00:00,"@angel_funsized @moneymotive888 JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/xf6kfxWdBW",NEUTRAL,0.3627316951751709,0.0003291415923740715
23,23,2022-12-04 16:54:54+00:00,"#ElonMusk  #Truth will be told. 
I Believe this is what the #Democrats #FBI &amp; #DOJ are worried about. #HunterBidensLaptop. https://t.co/KZPGf45oRV https://t.co/NeNKYHfoPY",NEGATIVE,0.007342423312366009,0.7151736617088318
24,24,2022-12-04 16:54:53+00:00,"BC Bitcoin Weekly #cryptocurrency News Breakdown

#CryptoNews #CryptoMarket #Crypto #cryptocurrencies #XRP #Elonmusk #Cardano

Sources:
https://t.co/10ENaOvsPM
https://t.co/cFEOdWIT7O
https://t.co/JfGsP6DBed
https://t.co/QNAIR9v3Xe
https://t.co/0rGkf9ScPI
https://t.co/F37u9mfVsZ https://t.co/rzZYZXQy0k",NEUTRAL,0.00019617572252172977,0.0001851135166361928
25,25,2022-12-04 16:54:52+00:00,"@cjp6769br @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/CJ8U7EN2fG",NEUTRAL,0.36072665452957153,0.0004873844445683062
26,26,2022-12-04 16:54:51+00:00,Elon needs to build or buy and crypto exchange he'll be the most trusted person with the best exchange also that will really take crypto to the next level.  #Elonmusk @elonmusk #BTCUSDT #Bitcoin,NEUTRAL,0.26024574041366577,0.016697056591510773
27,27,2022-12-04 16:54:46+00:00,"There’s almost 400 million Twitter accounts I think. You’d believe #Elonmusk would be a way bigger draw. Then again most people couldn’t get 1.1 million 
https://t.co/TthMVMAdL9 https://t.co/lO7OlAFJ1f",NEUTRAL,0.1537395566701889,0.0902215838432312
28,28,2022-12-04 16:54:45+00:00,"#Elonmusk 
you don't have a house ????",NEUTRAL,0.00764957582578063,0.29033511877059937
29,29,2022-12-04 16:54:43+00:00,"@alizwanderland @1goonrich @rabbit2023_ The best project of 2023 🔥A small investment will provide us with financial freedom.

https://t.co/pFm5w1GlEL

@rabbit2023_

#BSC #ETH #BNB #Rabbit2023 #ElonMusk #Vitalik #CZ #RabbitYear $RABBIT #币安 #区块链 #加密货币",NEUTRAL,0.2639344334602356,0.00017232126265298575
30,30,2022-12-04 16:54:38+00:00,"@thedivinecomic3 @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/BJVHo5Iqhf",NEUTRAL,0.3778316378593445,0.00037986034294590354
31,31,2022-12-04 16:54:35+00:00,"@beritastenggara DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!",NEUTRAL,0.0016047594835981727,0.0015178915346041322
32,32,2022-12-04 16:54:32+00:00,"@LilMoonLambo And is #ElonMusk, which is why $EGT built him this majestic monument 

#elongoat #ELONGOATTOKEN #ETH #NFT #goatmas https://t.co/W24PJoRFhN",NEUTRAL,0.11469820141792297,0.003116966225206852
33,33,2022-12-04 16:54:30+00:00,"@Lindellsmithjr @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/tvwLM4qxF5",NEUTRAL,0.3640323877334595,0.0003643756208475679
34,34,2022-12-04 16:54:24+00:00,"@leonardnftpage @HolyVerseNFTs JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/0FIbMjI0nv",NEUTRAL,0.3353847861289978,0.0003454778634477407
35,35,2022-12-04 16:54:23+00:00,"@Alex_J_Cleret @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/p9jNo6NaFb",NEUTRAL,0.39426174759864807,0.00029511554748751223
36,36,2022-12-04 16:54:20+00:00,"@MergerKatie @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/7FbdWPw0Tz",NEUTRAL,0.399402379989624,0.0002678668824955821
37,37,2022-12-04 16:54:17+00:00,"The NeuraLink mission will be to develop and acquire AI that will help give us the social and financial advantage in todays crypto market.

#Neuralink 

https://t.co/l73RwQ5VI1

 #1000xGem #ETH #RBXS #CMC #ERC #ELONMUSK #Crypto #blockchain https://t.co/rMv6wvfeCu",NEUTRAL,0.0731368437409401,0.00018067056953441352
38,38,2022-12-04 16:54:11+00:00,"@leonardnftpage @HolyVerseNFTs JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/5Ko1ZJvRJ8",NEUTRAL,0.34784215688705444,0.00037879348383285105
39,39,2022-12-04 16:54:09+00:00,"@WendtWeiss @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/bzLz1gmTLr",NEUTRAL,0.3896680474281311,0.0003614561865106225
40,40,2022-12-04 16:54:05+00:00,"@Tiffannyyy009 @Crypto__emily @vortex_protocol Strong community with great gem 
@vortex_protocol 
The gem you looking for
#Elonmusk 
#Binance 
#bnb",POSITIVE,0.8100545406341553,0.0006674854084849358
41,41,2022-12-04 16:54:03+00:00,"@saylor @MemeingBitcoin DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!",NEUTRAL,0.0008663164335303009,0.000858028419315815
42,42,2022-12-04 16:54:01+00:00,"@TheZanetta @GeorgeTakei @LindaHu14367111 JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/X4Ztjr9LR4",NEUTRAL,0.31559810042381287,0.000327166635543108
43,43,2022-12-04 16:53:57+00:00,"@MinisterOfNFTs JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/8uCXw5ar6q",NEUTRAL,0.317927747964859,0.0003032189270015806
44,44,2022-12-04 16:53:50+00:00,"@GrrlScientist @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/WbKiQaXszP",NEUTRAL,0.367557168006897,0.00032176688546314836
45,45,2022-12-04 16:53:47+00:00,"@cryptohper @CooJbow11 DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!",NEUTRAL,0.0009585749357938766,0.0007797995349392295
46,46,2022-12-04 16:53:47+00:00,"@LilMoonLambo Please Score goals with this project @ElonGoatToken 🐐🐐👀👀🔥🚀

@elonmusk #ElonMusk #ElonGoatToken #ElonGoat #EGT #ClaimYourGoat #memecoin #ElonistheGoat https://t.co/4T590q0MEe",NEUTRAL,0.01311738882213831,0.00015687447739765048
47,47,2022-12-04 16:53:43+00:00,"@Tiffannyyy009 @Crypto__emily @vortex_protocol Invest your money and enjoy steady returns with a completely new, unique concept.
@vortex_protocol $VXP https://t.co/sa7fnxzqYf #vortexprotocol #ELONMUSK #Ethereum",NEUTRAL,0.10772863030433655,0.0009753562044352293
48,48,2022-12-04 16:53:42+00:00,"@Caitlyn_Jenner Word has it that you're very concerned about #Elonmusk.😮Also, I can't blame you for tweeting to him that he's public enemy #1 for very horrific people.; I couldn't agree w/you more.😐",NEGATIVE,0.006932668853551149,0.8289788961410522
49,49,2022-12-04 16:53:41+00:00,"@__ayu3134 JOIN @FrogXmas - a project created to support disadvantaged kids,celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/wemfpOmJAA",NEUTRAL,0.261337548494339,0.00038363816565833986
50,50,2022-12-04 16:53:36+00:00,"@CooJbow11 DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!",NEUTRAL,0.002173288259655237,0.0012295425403863192
51,51,2022-12-04 16:53:36+00:00,"@plane_hd @YouTube JOIN @FrogXmas - a project created to support disadvantaged kids,celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/lF2KrfNj7x",NEUTRAL,0.24869026243686676,0.000397161376895383
52,52,2022-12-04 16:53:33+00:00,"@GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/7yqQVMbWZM",NEUTRAL,0.3408849239349365,0.0003057887079194188
53,53,2022-12-04 16:53:29+00:00,"@ieeeypctx JOIN @FrogXmas - a project created to support disadvantaged kids,celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/D3VbsVwwyz",NEUTRAL,0.29815801978111267,0.0004188475722912699
54,54,2022-12-04 16:53:26+00:00,"@SHIBRumours DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!",NEUTRAL,0.0015526837669312954,0.001060002250596881
55,55,2022-12-04 16:53:20+00:00,"@elifeceeray1 @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/KVfa3oKmKm",NEUTRAL,0.37817347049713135,0.00042763512465171516
56,56,2022-12-04 16:53:20+00:00,"@BSCGemsAlert DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!",NEUTRAL,0.001065504620783031,0.001095693907700479
57,57,2022-12-04 16:53:20+00:00,"@elonmusk every single tweet on my timeline I’d from a page I don’t follow,why is that? And why is most of it right wing American bullshit? #twitter #TWITTERGATE #Elonmusk #Elon",NEGATIVE,0.0027159187011420727,0.8020210266113281
58,58,2022-12-04 16:53:14+00:00,"@Cryptogems223 #100x next .Buy and hold. 🍀A small investment will provide us with financial freedom.

https://t.co/pFm5w1GlEL

@rabbit2023_

#BSC #ETH #BNB #Rabbit2023 #ElonMusk #Vitalik #CZ #RabbitYear $RABBIT #币安 #区块链 #加密货币",NEUTRAL,0.06551708281040192,0.0001776568969944492
59,59,2022-12-04 16:53:13+00:00,"@MrRealWhale DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!",NEUTRAL,0.0018552313558757305,0.0012812094064429402
60,60,2022-12-04 16:53:10+00:00,"@alex33902241 @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/Tipe76WsOT",NEUTRAL,0.3088405728340149,0.0003817715623881668
61,61,2022-12-04 16:53:10+00:00,"Topic:  Rising sea levels

Question:  why can’t we just run a giant pipe from the Mediterranean Sea out to the middle of the Sahara desert and turn it on

Hypothesis:  We would bring down sea levels, displace water to otherwise worthless land and fill ancient aquifers
#Elonmusk",NEUTRAL,0.001325643970631063,0.26640716195106506
62,62,2022-12-04 16:53:05+00:00,"@TravisC77777777 @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/Ttj9JhBEKX",NEUTRAL,0.32503843307495117,0.0003018439165316522
63,63,2022-12-04 16:52:58+00:00,"@Investments_CEO DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!",NEUTRAL,0.001279653748497367,0.0009399846894666553
64,64,2022-12-04 16:52:54+00:00,"@IS77294876 @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/yozxb2weaz",NEUTRAL,0.3358338177204132,0.00041093758773058653
65,65,2022-12-04 16:52:50+00:00,"@angel_funsized @jiims @da_sooty @Gustaves_NFT @nft_news24 JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/r4bvYJMJUz",NEUTRAL,0.3141820430755615,0.0003516548895277083
66,66,2022-12-04 16:52:49+00:00,"The Evolution of Marketing 
🌠🌓🌠
#Neuralink #neuraflection #1000xGem #altcoin #RBXS #cryptonews #CMC #ERC #ELONMUSK #Crypto #blockchain #CG
🌓🌠🌓
https://t.co/jC2RlQPPi4 https://t.co/zaOCCLdATp",NEUTRAL,0.0004111420421395451,0.0002156366826966405
67,67,2022-12-04 16:52:49+00:00,"@GalBarkat @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/EEe8eZGNFr",NEUTRAL,0.33639195561408997,0.00037760287523269653
68,68,2022-12-04 16:52:40+00:00,"@Davis_Tim42 @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/UeZ9uFHDvv",NEUTRAL,0.38012704253196716,0.00027992771356366575
69,69,2022-12-04 16:52:32+00:00,"@Much_Mining @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/hvIH9k1ydS",NEUTRAL,0.38467586040496826,0.00033607269870117307
70,70,2022-12-04 16:52:32+00:00,"Twittergate ""DO SOMETHING""  #elonmusk #Congress @USSupremeCourt #Republicans TRUMP WAS RIGHT ABOUT EVERYTHING AND WE GAWD-DAMNED KNOW IT! WE WANT TOG DOGS IN GOVERNMENT CHARGED WITH CONSPIRACY/TREASON AND HELD ACCOUNTABLE!!!",NEGATIVE,0.04678000509738922,0.525463879108429
71,71,2022-12-04 16:52:32+00:00,Blue checks complaining about an abundance of hate speech on Twitter since @elonmusk took over.  I don't see it on my feed.  What and who are they following to see so much hate?  Or are they lying as usual? #HateSpeech #TwitterTakeover #Elonmusk,NEGATIVE,0.001005295431241393,0.923064112663269
72,72,2022-12-04 16:52:31+00:00,"@Cetoex DATA BY @coingecko about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!",NEUTRAL,0.000719671428669244,0.000970792374573648
73,73,2022-12-04 16:52:27+00:00,"@TheCryptoWolf7 @sofizamolo @OneAnalog JOIN @FrogXmas - a project created to support disadvantaged kids,celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/5vpBwdpGgQ",NEUTRAL,0.24787427484989166,0.00038465153193101287
74,74,2022-12-04 16:52:26+00:00,"@Crypto_Oguz JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/a3JRc9Xtdo",NEUTRAL,0.31081831455230713,0.0002796817570924759
75,75,2022-12-04 16:52:25+00:00,"@_RyanMorris_ @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/qJTXn6vIMW",NEUTRAL,0.34539878368377686,0.00032318540615960956
